,formula,Temperature,target,ei,std
571,Nb72Al4C2Co22,24,212.4116523,1.17E-07,18.03379612
161,Nb80Al1C7Co12,24,206.5965704,1.17E-07,19.07755655
626,Nb89Al4C5Co2,24,188.0749454,1.16E-07,22.39356894
336,Nb79Al2C7Co12,24,206.4852471,1.15E-07,19.08956864
732,Nb85Al5C2Co8,24,195.4615849,1.14E-07,21.06256901
335,Nb80Al2C7Co11,24,207.8637987,1.14E-07,18.83620124
137,Nb80Al1C6Co13,24,204.3782189,1.13E-07,19.45994849
348,Nb67Al2C7Co24,24,203.1698656,1.13E-07,19.67414053
917,Nb74Al6C2Co18,24,220.4714774,1.13E-07,16.56283163
296,Nb71Al2C5Co22,24,209.3007827,1.13E-07,18.57223974
768,Nb73Al5C3Co19,24,217.5411382,1.12E-07,17.08656875
115,Nb78Al1C5Co16,24,204.2896163,1.11E-07,19.46440352
500,Nb89Al3C7Co1,24,195.3429202,1.11E-07,21.06604167
288,Nb79Al2C5Co14,24,207.4617658,1.11E-07,18.89192861
126,Nb91Al1C6Co2,24,180.0809092,1.11E-07,23.78745667
235,Nb84Al2C3Co11,24,197.8638906,1.11E-07,20.61153168
620,Nb71Al4C4Co21,24,216.0319182,1.11E-07,17.35155904
420,Nb73Al3C3Co21,24,208.7304445,1.10E-07,18.66176567
573,Nb70Al4C2Co24,24,210.3608081,1.10E-07,18.36839063
651,Nb88Al4C6Co2,24,195.7176535,1.10E-07,20.9912318
578,Nb89Al4C3Co4,24,182.717371,1.09E-07,23.30508835
312,Nb79Al2C6Co13,24,208.039682,1.09E-07,18.77699937
406,Nb87Al3C3Co7,24,188.3597685,1.09E-07,22.29704893
557,Nb86Al4C2Co8,24,189.9361231,1.07E-07,22.00860791
619,Nb72Al4C4Co20,24,215.9124491,1.07E-07,17.35558646
43,Nb78Al1C2Co19,24,210.9408018,1.06E-07,18.2432138
405,Nb88Al3C3Co6,24,184.201887,1.06E-07,23.02068478
224,Nb71Al2C2Co25,24,208.2848991,1.05E-07,18.71571924
424,Nb69Al3C3Co25,24,207.4729836,1.05E-07,18.86091352
92,Nb77Al1C4Co18,24,211.099119,1.05E-07,18.20685997
907,Nb84Al6C2Co8,24,204.8417369,1.05E-07,19.32770467
217,Nb78Al2C2Co18,24,212.3903667,1.04E-07,17.97415595
628,Nb87Al4C5Co4,24,196.8792422,1.04E-07,20.74582098
147,Nb70Al1C6Co23,24,207.6414999,1.03E-07,18.81953988
754,Nb87Al5C3Co5,24,188.2151468,1.03E-07,22.28964689
295,Nb72Al2C5Co21,24,209.0430547,1.03E-07,18.56804407
967,Nb72Al6C4Co18,24,216.9740337,1.03E-07,17.14516685
593,Nb74Al4C3Co19,24,215.7596409,1.03E-07,17.36302313
566,Nb77Al4C2Co17,24,213.6708675,1.03E-07,17.73399181
418,Nb75Al3C3Co19,24,211.8462364,1.03E-07,18.06101979
867,Nb70Al5C7Co18,24,208.9869072,1.02E-07,18.57216727
533,Nb86Al4C1Co9,24,188.8458775,1.01E-07,22.16092261
404,Nb89Al3C3Co5,24,179.1371257,1.01E-07,23.88793955
803,Nb86Al5C5Co4,24,198.3894083,1.01E-07,20.45851412
164,Nb77Al1C7Co15,24,207.6863397,1.00E-07,18.79357592
267,Nb76Al2C4Co18,24,211.5075935,1.00E-07,18.1080231
369,Nb76Al3C1Co20,24,213.7049265,9.98E-08,17.71296888
214,Nb81Al2C2Co15,24,199.8064937,9.97E-08,20.19827299
182,Nb89Al2C1Co8,24,184.0997351,9.97E-08,22.99651
617,Nb74Al4C4Co18,24,215.5294666,9.87E-08,17.3797205
671,Nb68Al4C6Co22,24,207.0131268,9.86E-08,18.90406252
32,Nb89Al1C2Co8,24,184.7675522,9.86E-08,22.86989474
792,Nb73Al5C4Co18,24,217.3228456,9.86E-08,17.05743315
545,Nb74Al4C1Co21,24,213.92376,9.85E-08,17.6663406
391,Nb78Al3C2Co17,24,213.6585115,9.84E-08,17.71332193
522,Nb67Al3C7Co23,24,204.9592315,9.79E-08,19.26691717
407,Nb86Al3C3Co8,24,191.6862207,9.78E-08,21.63364804
568,Nb75Al4C2Co19,24,214.4638411,9.75E-08,17.56422856
69,Nb76Al1C3Co20,24,208.2776835,9.70E-08,18.6682848
594,Nb73Al4C3Co20,24,216.3479293,9.69E-08,17.22322339
196,Nb75Al2C1Co22,24,210.3976456,9.68E-08,18.28814234
647,Nb68Al4C5Co23,24,207.5273692,9.67E-08,18.80045662
441,Nb76Al3C4Co17,24,214.8599795,9.65E-08,17.48717565
236,Nb83Al2C3Co12,24,200.3678544,9.62E-08,20.07592444
63,Nb82Al1C3Co14,24,197.622276,9.59E-08,20.56319111
238,Nb81Al2C3Co14,24,200.5541461,9.58E-08,20.04002767
253,Nb90Al2C4Co4,24,177.7390971,9.57E-08,24.09647731
532,Nb87Al4C1Co8,24,188.2891696,9.56E-08,22.22275654
380,Nb89Al3C2Co6,24,178.5527332,9.56E-08,23.95168703
383,Nb86Al3C2Co9,24,188.0796516,9.54E-08,22.25853004
543,Nb76Al4C1Co19,24,215.7143528,9.49E-08,17.32510512
207,Nb88Al2C2Co8,24,187.0223678,9.43E-08,22.43791905
220,Nb75Al2C2Co21,24,208.7558855,9.41E-08,18.56544428
694,Nb69Al4C7Co20,24,209.5667848,9.41E-08,18.42016159
389,Nb80Al3C2Co15,24,207.6727842,9.41E-08,18.75843023
473,Nb68Al3C5Co24,24,208.23035,9.34E-08,18.65485648
994,Nb69Al6C5Co20,24,212.4025123,9.32E-08,17.90779186
916,Nb75Al6C2Co17,24,220.1157591,9.29E-08,16.52539327
89,Nb80Al1C4Co15,24,203.9580896,9.27E-08,19.41305136
272,Nb71Al2C4Co23,24,207.6295819,9.27E-08,18.75782694
442,Nb75Al3C4Co18,24,215.3338089,9.24E-08,17.37900269
622,Nb69Al4C4Co23,24,209.7729128,9.19E-08,18.36997555
968,Nb71Al6C4Co19,24,215.0606518,9.15E-08,17.42242166
556,Nb87Al4C2Co7,24,185.3230876,9.14E-08,22.71873846
252,Nb91Al2C4Co3,24,175.9461064,9.06E-08,24.37386782
55,Nb90Al1C3Co6,24,179.9838641,9.05E-08,23.6579628
102,Nb91Al1C5Co3,24,178.4210322,9.04E-08,23.93432807
72,Nb73Al1C3Co23,24,206.7186654,9.03E-08,18.90519866
